date,ARIMA,SARIMA,DL,SARIMAX
2023-04-01,"[974.9881704441352, 985.7124698383764, 695.8983245925589]","[1027.2291524300715, 1261.8128152416052, 992.2419987859969]","[1083.6589187112372, 995.6399033080144, 744.5471332128947]","[922.7585939341227, 734.6661259811522, 648.6119783404807]"
2023-05-01,"[1025.1469304785905, 697.2424390207809, 576.3130345422016]","[1134.8381407555096, 480.3842478249162, 782.6821476491012]","[912.5331194688493, 747.9319517161036, 864.8712505580688]","[796.867823793242, 676.6292791969363, 1200.6523002961515]"
2023-06-01,"[701.7734407837274, 572.7119554988316, 891.1033597317099]","[655.3258030011996, 593.7577790211484, 559.5953589634926]","[851.0935616584229, 986.1119263517237, 1052.9158882478573]","[702.0631463544631, 1217.3218403427938, 783.611250941869]"
2023-07-01,"[580.2260016309076, 899.4974287792452, 994.6075295767005]","[601.7756596850921, 577.0051467110693, 690.523435699266]","[881.612971586175, 887.1407587713876, 890.7894329148415]","[1196.3608386142864, 766.4036717823448, 741.274353071394]"
2023-08-01,"[878.0829682408493, 992.2899017117581, 701.1609283957107]","[776.7444926463779, 1114.7854563410851, 1138.7631870532337]","[993.0176160830331, 1045.5059922799926, 1167.515052568698]","[767.972648627883, 742.6282361384838, 1511.0263705047498]"
2023-09-01,"[963.4751199648077, 661.7493498457251, 1007.3375000622555]","[992.0469627518335, 939.6796374950161, 1070.1216213476728]","[746.0509951414874, 1223.6393825323937, 1098.9636519651601]","[-1765.343164456612, -6257.032417323517, -8959.817810668808]"
