date,ARIMA,SARIMA,DL,SARIMAX
2023-05-01,"[56.439854310209746, 55.60524867810464, 57.44306350472224]","[53.82936391542062, 53.966778500988944, 53.86096188885051]","[56.64905606809169, 56.68847417247032, 56.6126342243656]","[54.85188328146556, 55.13931524037708, 54.750417982142615]"
2023-06-01,"[54.29340033892371, 55.88922017897573, 55.1647062447135]","[53.35533663039381, 53.2516078171742, 51.492051352237866]","[56.473229381119125, 56.44530898004665, 56.46156753161283]","[53.52397721077267, 53.12383164232055, 52.89881002690109]"
2023-07-01,"[55.82282332755673, 55.0948056360157, 53.439300604820204]","[53.80309010428554, 52.04034367058203, 52.40370086258282]","[55.875184745367626, 55.80485423052692, 55.677393377540156]","[53.51668578603861, 53.27555194655006, 53.8893086502971]"
2023-08-01,"[55.00481161683185, 53.58600689722923, 54.190860492920294]","[52.96409417688871, 54.48447888393206, 56.06960592924684]","[55.765679351777656, 55.7713111011433, 56.17377761356996]","[53.25182078714417, 53.879815934575106, 55.60636671563859]"
2023-09-01,"[53.606716353647464, 54.21794137519919, 57.257702640895516]","[53.70298978042422, 55.47567625351166, 59.04795797043745]","[55.204738808682016, 57.75100165441319, 60.68394948950817]","[52.66435605059872, 54.17098247898271, 57.712806329524064]"
2023-10-01,"[54.127958168383124, 57.149677273569324, 59.02633398840592]","[54.2553013109506, 58.07784273112392, 56.83853481113808]","[55.255811457185004, 57.44195932976892, 56.12002414424073]","[53.6536267735579, 57.19675827822373, 55.10474256588283]"
