date,ARIMA,SARIMA,DL,SARIMAX
2023-04-01,"[8841.811383794591, 9370.641998635305, 9297.744506143788]","[8758.002637899226, 9055.136210129374, 8995.30120891022]","[9232.417059391737, 9249.047966837883, 9311.273115068674]","[8889.495299666887, 9499.669895282665, 8462.847374343537]"
2023-05-01,"[9448.34612150423, 9149.83515264044, 9097.097993342122]","[8949.57030398072, 8912.160738683702, 9160.947738073864]","[9004.626884639263, 9014.729952380061, 9004.03322352469]","[9163.674261535138, 7725.454718970326, 7970.19450341946]"
2023-06-01,"[9366.42030371242, 9172.242499355281, 9411.254857833252]","[8918.420456285565, 9306.244894928092, 9141.038949465492]","[9033.697171926498, 9023.464276373386, 9021.539968460798]","[7395.456078635864, 7702.48490352609, 9452.426106484938]"
2023-07-01,"[9185.652666022172, 9397.647688594996, 9306.111071428404]","[9370.726567215748, 9240.533510478985, 8977.974436254975]","[9085.790297165513, 9077.982345029712, 9104.934033885598]","[9053.133719591704, 9840.354926739235, 9557.52446305062]"
2023-08-01,"[9374.973711221981, 9288.837074013014, 9047.624220805481]","[9109.723262881815, 8633.030080766683, 8934.52930995424]","[9069.734688967466, 9089.732330948114, 9449.824697226286]","[9913.416865149968, 9554.516584839042, 10053.341777035503]"
2023-09-01,"[9287.66289232147, 9044.42458518211, 9436.529846153653]","[8568.819758075277, 8953.685063141796, 8691.04099166376]","[9064.632012590766, 9349.512957513332, 9682.9310246706]","[9148.24197889708, 10464.847127961211, 10118.142925653869]"
