date,ARIMA,SARIMA,DL,SARIMAX
2023-06-01,"[13284.911867144467, 13054.111500374642, 13406.019841591302]","[13078.063246128546, 13558.269645578426, 13800.285761069343]","[13225.503007978201, 13304.254953533411, 13399.805865168571]","[12708.355764156777, 13122.926857904857, 13318.854950395023]"
2023-07-01,"[13051.11097517217, 13389.037164433601, 13777.160850578653]","[13278.256651546353, 13589.429878052646, 13171.388606677772]","[13282.415746301413, 13483.088869780302, 13526.179936081171]","[13119.886881148965, 13316.733213985919, 13154.392274317224]"
2023-08-01,"[13384.24626231327, 13778.885916382282, 13729.682229308506]","[13501.434819188307, 13104.168117180221, 13896.8022369361]","[13681.650529295206, 13775.110559880733, 14243.70339334011]","[13346.30309665576, 13174.786895642905, 14173.20130374949]"
2023-09-01,"[13779.602422855933, 13723.52530396434, 14004.557008485852]","[13040.434097428093, 13847.976331768277, 14447.685848715097]","[13692.48204293847, 14167.620978266, 14752.003854036331]","[13224.939575921682, 14208.988127985675, 14702.650990801745]"
2023-10-01,"[13716.446150404332, 14015.792150576059, 14643.517244837336]","[14048.793185121069, 14597.900611047588, 15446.148767136192]","[14445.15964770317, 15226.322168171406, 16252.021962881088]","[14275.503924139266, 14753.97079232598, 15301.01454885437]"
2023-11-01,"[14018.174863991604, 14672.101532008735, 15074.021869652415]","[14789.575427094635, 15587.440445664613, 15087.476360457207]","[15169.798544943333, 16102.957556724548, 15833.820759415627]","[14784.08215984034, 15325.737353476536, 16069.525986463896]"
