date,ARIMA,SARIMA,DL,SARIMAX
2023-05-01,"[246.70921009205125, 203.1344763967752, 145.4817518153331]","[299.3904149643947, 291.30523422993974, 283.43839765161476]","[252.57055102586747, 220.43496972322464, 180.3094811052084]","[240.19845031123614, 142.45036117490554, 108.6881272249283]"
2023-06-01,"[203.15625198027897, 145.39658354183413, 123.90461389031977]","[221.7816258426957, 214.13621924871342, 206.7543702951137]","[169.94981313049794, 126.54757952839135, 109.43671934902667]","[134.77862855047974, 103.06728292835443, 126.9076869882749]"
2023-07-01,"[144.68965471440683, 122.93629479212078, 141.40399097614488]","[121.19250919454558, 116.10770185667997, 111.23623497883987]","[146.19061309844255, 130.98753329515458, 125.44619226455687]","[96.99287305793234, 122.49365600515166, 111.42807817241754]"
2023-08-01,"[123.33646781956845, 141.70247053067507, 131.84341999557182]","[84.27821449879134, 80.6222183780282, 77.12481968027082]","[90.78391641043126, 88.46072342656552, 84.09636938273906]","[115.94079859010554, 106.5984077799046, 147.07640938700197]"
2023-09-01,"[142.13486241745304, 132.31970490225817, 155.98825616747098]","[115.59538887953565, 110.70666056512901, 106.02468500066976]","[106.54936617314814, 108.99603703320025, 123.08149655759334]","[110.11930979606657, 149.71189175526183, 179.76285033030473]"
2023-10-01,"[132.89077527287196, 156.74150237735287, 179.51838157902537]","[98.78338156199248, 94.55577977540888, 90.5091053531584]","[110.42565523236989, 107.03257560655474, 116.6004613623023]","[144.59823602718112, 175.97729419683307, 263.38810734969877]"
