date,ARIMA,SARIMA,DL,SARIMAX
2023-04-01,"[1956.6191314575854, 1835.5876216597433, 1367.9340559062407]","[1497.8374615033435, 1983.2653002002037, 761.9301145663431]","[2496.233971774578, 2417.764646589756, 1115.2978184819221]","[2037.4589737985345, 1603.6872504078726, 1593.1248303711102]"
2023-05-01,"[1948.6798358813148, 1391.5276407267093, 1208.7568329888597]","[2220.8411953067466, 1561.0378197464715, 1852.3305019211462]","[2017.7455413937569, 1312.2307496964931, 1796.8404827713966]","[1512.5304269196204, 1542.3369913766053, 2370.893801796141]"
2023-06-01,"[1400.8545589660284, 1195.8357626017973, 1797.7133342876684]","[1450.218650025419, 1297.8917145248479, 1216.7615788640392]","[1412.5113869309425, 1738.9149143695831, 2049.421761393547]","[1518.6516900925335, 2374.3723361807, 1615.7407264235899]"
2023-07-01,"[1205.9936187029418, 1808.0109878288429, 1847.5731191335663]","[1370.2554586810375, 1304.4432551003213, 1491.5735212304505]","[1683.8887857198715, 1773.8003356456757, 2074.3921998739243]","[2354.834659800304, 1641.8689322417765, 1557.644163679372]"
2023-08-01,"[1888.965635188844, 1792.4472065584541, 1364.264167790723]","[1665.7333793184798, 2211.0100508990636, 2338.6823572648955]","[1856.181707084179, 2011.650950729847, 2600.855599820614]","[1634.4968480280786, 1553.540232055199, 3346.852415676875]"
2023-09-01,"[1780.306001871294, 1383.1250020250377, 2348.979122961561]","[2175.529770228527, 2262.6220186875653, 2733.0473358946583]","[1872.9434651732445, 2372.7595319747925, 2367.541128575802]","[1510.8008718734013, 3314.130961598504, 3752.183110386912]"
