date,ARIMA,SARIMA,DL,SARIMAX
2021-11-01,"[302.949032611238, 567.2348996539182, 986.2216834613203]","[317.553574840969, 299.0055112480535, 293.01399255709185]","[371.80650413036346, 483.1457095146179, 645.2267980575562]","[582.1619476348001, 1004.9874824262479, 886.5374893424992]"
2021-12-01,"[578.4582232789514, 1003.5542661288785, 750.895443943166]","[555.1061914774873, 509.3054185702823, 502.91320205619843]","[616.4524352550507, 814.3113102912902, 976.1732645034789]","[974.9781288253622, 854.4937224198239, 565.4447988089441]"
2022-01-01,"[990.453607016002, 763.1678028466774, 460.27268153065216]","[991.3981193415973, 1016.8312569472165, 1046.2994128168575]","[1466.809082984924, 1640.5243539810178, 1523.3054256439207]","[814.7460052671687, 499.23672996234416, 498.04993102892087]"
2022-02-01,"[641.2009803463411, 499.17906517543713, 532.8787211262201]","[682.1864551037547, 731.5890234777823, 755.8551176629228]","[794.6641378402709, 835.4324231147765, 572.2071981430054]","[420.3159501460875, 429.8830411247779, 436.30222782976523]"
2022-03-01,"[513.1328234993568, 522.526197831432, 444.1333666400018]","[518.2497306776479, 604.4844881875119, 601.1661180738968]","[680.336347579956, 641.410074710846, 644.4482622146606]","[483.08199360282435, 476.8010880743292, 404.9180132723476]"
2022-04-01,"[522.7928691518274, 444.1556912981496, 342.3153926513784]","[527.088777148975, 547.4337140004283, 533.0792902003459]","[509.7126786708832, 535.9969966411591, 581.468597650528]","[439.2229600791861, 378.5915368313821, 382.49172995861073]"
