date,ARIMA,SARIMA,DL,SARIMAX
2022-04-01,"[819826.6717793376, 896092.1600361821, 954555.1891117743]","[785989.9355878177, 819328.1835984025, 765070.2530219444]","[847764.7656704843, 840047.168462075, 791912.6556591516]","[799858.2732231144, 977001.7674213422, 962804.0020044253]"
2022-05-01,"[915974.3256692335, 978125.4507422447, 865621.5865650661]","[839073.0295484803, 781034.617757665, 707726.2691921465]","[835728.0223696994, 789304.9892296075, 745984.7977086589]","[984436.7300227544, 968604.5067680981, 1027688.1767385304]"
2022-06-01,"[993447.118696837, 876241.2017750168, 894236.0544238947]","[921521.1998116709, 833278.0108603297, 728511.3397957878]","[756330.0522058096, 688138.3454726973, 610101.9780913135]","[985415.2261401516, 1042878.258915272, 952469.1988615636]"
2022-07-01,"[861720.2167259136, 878844.07124847, 760571.1428403583]","[899214.4215411701, 791446.7584406999, 688098.1278531256]","[833756.7287696535, 736549.0947097677, 614341.5868506804]","[1046166.581438707, 955098.2649080458, 609653.3790249468]"
2022-08-01,"[883940.2907106905, 772646.5429981938, 318031.62740871066]","[954201.354014938, 891147.4198995425, 677719.9708648795]","[817917.4698643825, 624257.3269314852, 205854.9499100484]","[972787.1286510703, 629491.7617127096, 518131.9932187872]"
2022-09-01,"[772588.7712827113, 317890.32681842527, 192794.78014867968]","[903477.3887227087, 690947.7962997106, 553685.8779948921]","[587994.7701772335, 278489.3991110678, 205423.65419783877]","[628639.6156096347, 516764.1458883595, 250148.0257181901]"
