date,ARIMA,SARIMA,DL,SARIMAX
2023-05-01,"[1223.9356740110434, 1604.1909455870427, 1575.5460851139096]","[1154.9551795900738, 1683.6711594730737, 1710.2421111935969]","[1383.9290259361267, 1859.8916350364684, 1928.8069009780884]","[1240.433952443888, 1725.2143313842491, 1714.8633530623565]"
2023-06-01,"[1606.4632556561774, 1581.2381055250532, 1521.8112021226157]","[1874.7022509029828, 1752.1660207241387, 1624.3738276351958]","[1639.3144637584687, 1682.728928565979, 1560.86292283535]","[1813.1514101567082, 1580.8234747771148, 1714.7614838487414]"
2023-07-01,"[1583.7094530471063, 1525.2434582742715, 1659.3169742935345]","[1705.4550502297789, 1585.305574374111, 1296.2040927146531]","[1947.8707990646362, 1774.2798290729522, 1485.6325313329696]","[1643.8166735004424, 1722.660503905619, 1953.1572943702902]"
2023-08-01,"[1526.3364870177531, 1660.5355285133435, 1652.4019796954303]","[585.8314428465377, 380.6176505834542, 415.8064485715635]","[1522.2298756837845, 1353.8300315618515, 1315.5956684589387]","[1802.679638060939, 2089.6452878668956, 1777.1215772088042]"
2023-09-01,"[1663.9536213155457, 1655.9573942922982, 1546.561671615208]","[1399.4560297805801, 1236.9410485965545, 1491.157043034698]","[1505.9578357934952, 1482.2765800952911, 1680.277377510071]","[2051.446047126606, 1708.3031774194485, 1818.9669065552214]"
2023-10-01,"[1654.4119439483648, 1546.3550325655021, 1732.8468763682843]","[1436.908441418979, 1510.5667815120776, 1564.2899203740387]","[1430.329690551758, 1647.8487956285478, 1482.6418660402298]","[1643.3591045462301, 1809.2284009424566, 1407.2615885110013]"
