date,ARIMA,SARIMA,DL,SARIMAX
2023-06-01,"[1783.4471204067345, 2295.762306372927, 1378.0380862568463]","[1212.0706515838808, 1198.5108388531723, 1049.7279440486857]","[2250.389632257545, 2233.3426762106, 2157.0998645954073]","[1721.4729702191648, 1295.6833358470315, 1084.7533931118314]"
2023-07-01,"[2146.763664305221, 1191.534960277587, 1307.9490730762664]","[1761.7849695391287, 1496.8565963867284, 1247.2949424371989]","[2096.2684429525734, 2094.2708276693343, 2092.4632814710258]","[1424.8935484169567, 1169.1787888556598, 1123.9935908576078]"
2023-08-01,"[1333.307541081426, 1433.3183731208894, 1403.4562923193541]","[1117.4338367677371, 948.9719989422651, 659.3374480813704]","[2078.0334201325654, 1972.6289081820787, 1946.951492755264]","[1075.8714718032766, 1067.146029199515, 1455.6144386731362]"
2023-09-01,"[1559.7606621945724, 1528.473168299694, 2183.5561426960435]","[693.4466028542952, 479.6217265384517, 273.01485899463677]","[1926.7823010084926, 1909.3471072568177, 1911.3479623540045]","[985.7658948217093, 1417.699347634876, 3537.893777455045]"
2023-10-01,"[1227.8040416217216, 1885.778167728592, 3952.2785731391004]","[868.9403096288398, 801.9261348821134, 740.0802088254529]","[1786.065099454674, 1801.9551719378023, 1907.324788392228]","[1351.1538091901484, 3436.7854523668384, 3902.2390373418903]"
2023-11-01,"[1871.1951642554338, 3952.45162383383, 3342.3343377402516]","[1540.7188696022113, 1424.3386313463868, 1316.7493283635101]","[1758.9364498676716, 2108.063390605837, 1858.0644972557723]","[3512.9520042042186, 3955.995866545061, 3952.718853996578]"
