date,ARIMA,SARIMA,DL,SARIMAX
2023-04-01,"[194.40588614652765, 182.209081186686, 204.6557158378933]","[169.29254173480567, 214.7177642037042, 203.93285367292455]","[189.58040064573288, 205.76241397857666, 210.9815390110016]","[164.74475030228015, 212.9910230326136, 218.58874348741494]"
2023-05-01,"[182.40403008134504, 204.9204865512901, 192.87714619125634]","[195.59004340071252, 192.28991010897641, 202.39759209634124]","[209.9037360548973, 223.24504524469376, 223.53630006313324]","[203.05378424298547, 214.4809011965535, 260.77079335858417]"
2023-06-01,"[205.03799991462495, 192.8030743318338, 182.0547619564454]","[191.0780038505042, 201.45416307036942, 196.65387130943657]","[198.9570028781891, 201.1909528374672, 185.26085031032562]","[204.0411562595599, 258.4798460200256, 253.00368893020354]"
2023-07-01,"[192.72515996567864, 182.0235475865394, 173.12421860294526]","[201.1216648894637, 196.4240580833077, 160.0707504167339]","[204.1052090525627, 190.0967833995819, 168.36273324489594]","[246.40400918852612, 246.29174128644664, 215.98956034236411]"
2023-08-01,"[181.99923415165546, 173.11469636222355, 139.62258340833694]","[196.72623565744726, 160.18388887768543, 123.50681880816408]","[190.95559072494507, 166.0706034898758, 134.19573783874512]","[225.41821192141447, 210.75373449047476, 156.68514403569077]"
2023-09-01,"[172.32537161634636, 138.87009410160667, 116.77036135423509]","[160.0496871601042, 123.45016165928052, 63.03247359643221]","[170.2537723183632, 143.16133332252502, 73.82718378305434]","[195.15454899722167, 154.67295341799004, 77.72053168780425]"
