date,ARIMA,SARIMA,DL,SARIMAX
2023-05-01,"[1510.8655885057565, 2167.3156441317733, 2093.306462264667]","[1769.1730677918254, 2145.489492887231, 2100.6218008067]","[1349.1145452260969, 1350.1936510801313, 1348.855100393295]","[65075341963.53941, 118567472978.09235, 99730088597.57822]"
2023-06-01,"[2173.7897162959193, 2095.7445338745874, 1782.448353817523]","[2256.226840647826, 2160.2872796359966, 1915.505392499124]","[2353.9145967960358, 2311.582278728485, 2061.8254380226135]","[1977.121275147361, 2051.073855896181, 1664.3533910220353]"
2023-07-01,"[2096.239553795483, 1784.1209561314608, 1663.4395967217215]","[2097.5969272702246, 1883.8691931681776, 1363.9742738282885]","[2135.163529396057, 1882.6047284603117, 992.7045555114745]","[2127.611110551209, 1711.6571408616423, 1340.9437214159198]"
2023-08-01,"[1782.8307602720638, 1661.563900379681, 1248.7085398378308]","[1846.3811994279881, 1347.2704354463938, 1131.7040754185516]","[2100.173483610153, 1268.5290896892545, 1050.4214960336683]","[1651.5527907101507, 1305.5402503764335, 860.2856506141926]"
2023-09-01,"[1657.449165066121, 1260.0899465357393, 954.1619940724449]","[1401.9026376741688, 1329.8973553825558, 933.1005499343963]","[1316.8957395553587, 1067.4465396404264, 1040.7427364587782]","[1455.9671783976282, 1019.737827965026, 1176.352824238631]"
2023-10-01,"[1259.0187934671744, 953.3283219039822, 1388.328574857419]","[1229.392819003434, 972.6590793785331, 956.2429032254586]","[1130.3989241123197, 1072.8942766189573, 1083.8603683710096]","[1014.1540252503468, 1112.8537137047865, 1067.453008514229]"
