date,ARIMA,SARIMA,DL,SARIMAX
2023-05-01,"[9.289597398660046, 11.273706252207864, 12.018104151442358]","[9.621110923909072, 11.342196481959222, 10.290496108788679]","[10.248236791495353, 10.765827663083563, 9.529659881058707]","[11.1653505654541, 12.659836123605247, 10.899644220173183]"
2023-06-01,"[11.307016978360652, 11.904210573944145, 8.86492371676177]","[11.579871805975152, 10.453245344155096, 9.288414800559446]","[10.974968107020826, 9.858328363506219, 8.69036297264053]","[12.65213993524489, 10.901755264901906, 9.305255669852949]"
2023-07-01,"[12.171051942963292, 9.01851047291631, 6.250268005617137]","[10.737654450343584, 9.372708141069815, 7.8670342390515735]","[9.599135036994287, 8.778482898892449, 7.643896996478098]","[10.96824719778129, 9.405632215855489, 10.008297983686575]"
2023-08-01,"[9.045591007142047, 6.164732930652404, 6.042735778313453]","[9.426515209017891, 7.871910825218337, 5.436226596554338]","[8.15052886552774, 7.212956774651504, 5.285635206504102]","[9.396897889170386, 9.994088724412206, 4.969509557038743]"
2023-09-01,"[6.166854669396454, 6.045376095907093, 2.4717792545740638]","[7.8584060993765075, 5.431758566244912, 2.6666001466385607]","[7.624459821325829, 5.652451590767272, 2.1983096377501834]","[9.974279051843842, 4.934857593294946, 2.205236077971086]"
2023-10-01,"[6.029262464810961, 2.4518771269911137, 0.5677300482317813]","[5.616786981550005, 2.845978148423604, 1.8425112888548247]","[6.439085739988581, 3.202812388410716, 1.7406561291819682]","[4.902960853433847, 2.1645267974855438, 1.231602480451122]"
