date,ARIMA,SARIMA,DL,SARIMAX
2023-05-01,"[513.9947385473715, 793.3293175835068, 548.2234305369934]","[510.36162496804513, 469.17398803238984, 431.31031072330245]","[542.3160779833794, 413.1103974342346, 366.35620144605633]","[905.365957674269, 673.5569821507949, 579.5192917843942]"
2023-06-01,"[922.3, 652.8, 560.0]","[922.3, 922.3, 922.3]","[631.526234960556, 511.591837143898, 446.33648732900616]","[676.4217999840586, 574.776700392073, 563.4181138459307]"
2023-07-01,"[652.8, 560.0, 560.0]","[652.8, 652.8, 652.8]","[624.230196094513, 526.2374329328537, 408.5691813290119]","[550.890360397597, 539.5022121646118, 329.47598920382654]"
2023-08-01,"[560.0, 560.0, 320.70000000000005]","[560.0, 560.0, 560.0]","[460.3405390143394, 370.33885285854336, 318.6376115143299]","[548.6165432379016, 338.67684285219343, 398.16230090967815]"
2023-09-01,"[546.9160845155586, 410.1531002859937, 481.3064288968622]","[525.6507153733462, 493.40834745091183, 463.1436621584864]","[458.16316119432446, 408.63612694144246, 447.37209055423733]","[359.4932314889801, 421.62450011704675, 825.2119347686274]"
2023-10-01,"[409.2602476186735, 482.42150827327805, 726.3511411867429]","[299.00259130031, 278.7731512450895, 259.91236235495785]","[444.7435564756393, 458.6381219387054, 757.1878335237503]","[391.1583262651386, 803.0194339409136, 848.756201932499]"
