date,ARIMA,SARIMA,DL,SARIMAX
2022-04-01,"[8.807199068860243, 8.260216836103163, 4.431341206803604]","[7.77117825152728, 6.909148857633082, 5.993477702654326]","[5.409762620925903, 3.9625284671783447, 3.991487607359886]","[9.999998657357542, 3.0000028805780676, 2.0000033016303065]"
2022-05-01,"[7.583141700094817, 4.782185415715016, 4.204985185098361]","[8.61802112209256, 7.302074073219124, 5.944985077139342]","[4.93127977848053, 4.7782105803489685, 4.607641309499741]","[3.0, 2.0, 1.0]"
2022-06-01,"[4.317863905663389, 3.7538333088624998, 3.1898027120616104]","[3.0933510984673793, 2.789902637926787, 3.581782177203098]","[4.047472909092903, 3.7975399792194366, 3.762179970741272]","[2.0000009676075554, 1.0000014415223468, 1.000002526197065]"
2022-07-01,"[3.6973311100199666, 3.125486867831727, 3.125486867831727]","[1.9845625449633744, 2.9731084744182175, 0.5956473839643452]","[3.8179533779621124, 3.8081469982862473, 3.8094713389873505]","[1.0000006443724003, 1.0000018609200174, 0.9999992915849635]"
2022-08-01,"[3.0649053181708252, 3.0649053181708252, 3.0649053181708252]","[1.185156287895801, 0.7962812119240196, 1.7139173957591902]","[2.999930813908577, 3.1008554100990295, 3.310870587825775]","[0.999999825096416, 0.999999825096416, 0.999999825096416]"
2022-09-01,"[3.0077396075159677, 3.0077396075159677, 3.0077396075159677]","[0.7190988569731114, 1.679412806491435, 3.2191212466487307]","[3.9830272495746613, 4.223630115389824, 5.098335802555084]","[0.9999977794696585, 0.9999983217893377, 0.999998761030704]"
