date,ARIMA,SARIMA,DL,SARIMAX
2022-04-01,"[22473.146593791258, 20756.97396489638, 7836.7294134459025]","[18580.093224079792, 15787.13881031317, 12507.852807901016]","[18128.87065308253, 11875.575059196315, 10761.979765389186]","[25652.515263188146, 5011.254273586314, 11872.708592560022]"
2022-05-01,"[20578.78049102147, 7694.272539912599, 9463.941354078168]","[20921.936877164164, 16024.811569541174, 18126.063596443986]","[10172.961737945412, 9396.478873146036, 9201.720500590183]","[5248.814508229311, 12000.38193605191, 6775.133010903586]"
2022-06-01,"[7392.632850952059, 9262.709021327983, 8700.28171687308]","[9924.160888491018, 13946.691720738232, 13510.325197578968]","[9753.353199135752, 9557.212556551754, 9708.266262219722]","[15619.627165577178, 8930.004304784827, 2948.6060876113497]"
2022-07-01,"[7442.652967180664, 8738.024735230802, 8165.721472525149]","[13204.608472611937, 12674.894484686953, 7807.278270606712]","[10070.632880455321, 10112.675962030915, 10316.818646877395]","[7817.864671253953, 7611.668620985295, 6869.238281126716]"
2022-08-01,"[8501.807255816924, 7851.852900070571, 13405.48133528472]","[8176.247692338952, 5151.72917501461, 12750.421600859841]","[11677.998327297717, 11753.575593134205, 12955.274421386735]","[6776.278557434469, 6447.20785381459, 9941.56828508832]"
2022-09-01,"[7691.922962447981, 13206.598295408434, 14021.875429626387]","[909.8056490433269, 8760.641090375238, 12428.145076870245]","[10196.093812270512, 12134.87978763513, 19583.378426275423]","[3866.01625437789, 8350.381321153567, 13985.776141620714]"
