date,ARIMA,SARIMA,DL,SARIMAX
2022-04-01,"[1912.2125082026291, 1229.9800515895543, 1024.6587744415365]","[1530.2053489702416, 1484.2321945819317, 1107.2363051353695]","[1337.1295957565308, 1361.8018035888672, 1401.0894660949707]","[1845.9517751579617, 1372.0268370633828, 1118.3879625146292]"
2022-05-01,"[1252.9626988971381, 1019.9911016430618, 723.5091789774599]","[1542.4960984955785, 1147.874894713032, 1404.0053632303986]","[1521.3394956588745, 1556.6870431900024, 1626.2054376602173]","[1392.1854522647996, 1140.7538285209207, 1151.7865110831644]"
2022-06-01,"[1019.3557574481164, 722.0534906034876, 850.6034127033172]","[1212.48267675097, 1392.626410737399, 1601.4098202142332]","[1570.7661895751953, 1632.2896509170532, 1728.2166080474854]","[1032.5673396329018, 1093.3197036056688, 949.6014609198329]"
2022-07-01,"[784.1928859529171, 851.446886699164, 807.6058241880874]","[1197.4884484690656, 1635.659517792194, 1077.3703507245996]","[1660.2055673599243, 1940.6817512512207, 2556.805456161499]","[1008.4465977636826, 837.0181921824901, 1158.7754216996047]"
2022-08-01,"[858.9193088679547, 827.5316486658455, 1096.7433517895688]","[1645.6521295432944, 1074.4673804915044, 2567.741085092787]","[1685.577829360962, 2235.410879135132, 2543.183095932007]","[835.9446812432411, 1157.8886005969443, 1677.8809895095824]"
2022-09-01,"[844.6628549461681, 1134.8323349406803, 1763.0389927289261]","[1191.4068559119914, 2520.2606283425407, 2007.2221090850774]","[1951.5097312927246, 2620.4528312683105, 2494.795539855957]","[1201.7514014050264, 1850.8644223917663, 2572.7194798155188]"
