date,ARIMA,SARIMA,DL,SARIMAX
2023-05-01,"[3796.212756632964, 3611.978314286162, 3674.8685933879924]","[3642.296073121837, 3821.9266009598787, 4024.767546803637]","[3852.053584396839, 3886.4700248241425, 3953.533403545618]","[3613.2073714671687, 3634.08845698762, 3821.2740669012737]"
2023-06-01,"[3696.469290858536, 3683.645921629922, 3819.3599126327535]","[3661.2054263777586, 3844.3174006750482, 3705.2814132535873]","[3826.7265821397305, 3936.625825047493, 3842.731057047844]","[3521.5126162782108, 3694.0228934762054, 3651.943018808895]"
2023-07-01,"[3680.987296755097, 3817.789560959788, 3793.552939348721]","[3748.855954516764, 3679.7606580223155, 3590.5879749172195]","[3746.018838763237, 3694.418474853039, 3653.984278380871]","[3728.824196368895, 3695.3344964734038, 3519.899727336438]"
2023-08-01,"[3817.486397082, 3793.323514861077, 3736.4065034073465]","[3577.8646611801214, 3447.266525878819, 3762.6959178790567]","[3812.108753889799, 3812.9220184981823, 3829.452980339527]","[3734.968469045806, 3544.6127312402327, 3803.1226561369594]"
2023-09-01,"[3794.9946985023116, 3738.5653595127283, 3816.8211409416795]","[3644.2412842398467, 3950.8874857430683, 4065.041536522669]","[3715.745389521122, 3798.0775825083256, 3909.874951183796]","[3536.9052596149527, 3796.78296756783, 4121.029344182512]"
2023-10-01,"[3703.80924690861, 3779.3974208936215, 4035.8758156206713]","[3753.4860022753614, 3830.2788334159554, 3958.0355602397785]","[3784.9275055527687, 3911.2810421586037, 4102.954450428486]","[3855.304150963633, 4169.179904179399, 4403.744833248919]"
