date,ARIMA,SARIMA,DL,SARIMAX
2023-04-01,"[1911.1785841073681, 2310.405463903461, 2650.8140440689303]","[2049.992908240676, 2317.450424683009, 2213.6225004332246]","[2266.541484799541, 2394.5411149589527, 2497.0206310540016]","[2184.336194272231, 2460.6272408188656, 2797.1256625101996]"
2023-05-01,"[2327.2431873196233, 2677.213622166406, 2437.8857223280856]","[2412.43612733025, 2294.735671978517, 2571.196140821967]","[2750.2702208654355, 2858.7537670666634, 2906.5364695971657]","[2412.146769755453, 2714.8808618975204, 2809.1368881796725]"
2023-06-01,"[2703.633607072721, 2466.741673626724, 2350.382988179932]","[2490.5630021568554, 2758.416959461348, 2441.1946713272328]","[2626.7021264575565, 2641.1117411487603, 2374.841978669927]","[2774.88021398157, 2829.242289895383, 2582.72075553808]"
2023-07-01,"[2461.5333259023673, 2343.9177688928494, 2264.855680956951]","[2916.9106263549806, 2586.8498801038995, 2079.178922277875]","[2942.444083891487, 2659.5790158402956, 2302.3469236576225]","[2808.3605478183526, 2573.786434373276, 2329.6497096748153]"
2023-08-01,"[2333.0579617336307, 2253.6480732610444, 1730.048040501019]","[2394.883910968403, 1921.436836256696, 1445.9368801923815]","[2383.9426533423402, 2218.2312721384524, 1951.587550157797]","[2594.0749961437923, 2340.946543375667, 1642.3241017509558]"
2023-09-01,"[2245.7528817568873, 1720.4904485796005, 996.890820019629]","[2158.4687936617534, 1669.8268356367391, 1179.078186609514]","[2098.487255936835, 1712.8788338212876, 1047.7304032951185]","[2348.1918225714962, 1645.322884201809, 952.2599637050325]"
