date,ARIMA,SARIMA,DL,SARIMAX
2023-04-01,"[1722.5072038971075, 2622.6201401722583, 3649.5109856894974]","[1718.3111297022174, 2120.6396697498963, 2885.774879688128]","[2086.2867563962936, 2135.755762755871, 2053.529007613659]","[2046.742118150041, 2921.993092679143, 3444.682001147599]"
2023-05-01,"[2530.6540396024457, 3500.475151670957, 3663.8472707548935]","[2522.147958980898, 3473.671061940787, 3243.6190591927125]","[2282.1537877321243, 2631.820899009704, 2688.331714868545]","[2926.788857274856, 3449.1551369115705, 2697.231544309363]"
2023-06-01,"[3481.037790244701, 3603.360665228657, 2010.4392292993878]","[3147.292332110694, 3028.7679704501315, 2780.505697789111]","[2655.1271979808807, 2457.276233315468, 2274.386678814888]","[3510.297886615622, 2731.007922624447, 2364.6254151490257]"
2023-07-01,"[3608.285603678495, 2018.097075246075, 1909.9796666642978]","[3407.0844887235444, 3003.0597753091843, 1987.0450473983765]","[3650.7117152214046, 3088.0205888748164, 2170.390038728714]","[2794.111377875328, 2412.605050627649, 1989.806043028452]"
2023-08-01,"[1959.5918453900458, 1867.0628018507355, 1359.1639102393847]","[2619.89496808075, 1702.1862392885803, 1164.9668220062163]","[2237.6163737773895, 1906.8685450553892, 1193.162230014801]","[2480.4507297555874, 2059.282437262358, 1076.8539115104788]"
2023-09-01,"[1896.5000927683068, 1389.8778290127302, 189.04511184200305]","[1559.3947805414875, 1044.9757682970976, 581.8344496412002]","[2460.880786180496, 1617.7884582281113, 499.6184212565422]","[2030.8011866091379, 1049.08906502847, 567.7176807828156]"
