date,ARIMA,SARIMA,DL,SARIMAX
2023-05-01,"[18.880932497688356, 23.134873754995983, 20.9624503019607]","[8.200676382288577, 0.0, 0.0]","[18.06119877099991, 17.135023713111877, 16.36886775493622]","[29.5646010618102, 28.676642572409634, 23.875901252179784]"
2023-06-01,"[23.15708908310638, 20.976910558356654, 19.80848272175531]","[17.030524868202132, 0.0, 0.0]","[19.76036512851715, 17.796305298805237, 17.143672078847885]","[28.904307631977996, 23.892970061022922, 21.147002145186264]"
2023-07-01,"[20.95559452425259, 19.78707645090745, 19.02837550601207]","[9.304626893919824, 0.0, 0.0]","[20.659361958503723, 17.497122704982758, 16.18482419848442]","[23.942221437816446, 21.149049052685683, 16.54178034609068]"
2023-08-01,"[19.778660396738857, 19.018972388687164, 17.67519077816774]","[11.52241022181468, 0.0, 0.0]","[18.23591262102127, 15.788017272949219, 15.161862432956696]","[21.178774560645508, 16.542739650959952, 16.7644051334467]"
2023-09-01,"[19.018021918857897, 17.674205232030907, 18.23151625464509]","[7.412696506432984, 0.0, 0.0]","[15.77842503786087, 14.731839805841446, 15.442045629024506]","[16.45160747187227, 16.761906520040704, 17.2085594216342]"
2023-10-01,"[17.564809331828105, 18.123827362139483, 18.307038085969666]","[7.544097205025337, 0.0, 0.0]","[17.468910813331604, 18.90661919116974, 10.10059154033661]","[17.040283304707174, 17.21459326349062, 6.924135263535235]"
