date,ARIMA,SARIMA,DL,SARIMAX
2023-05-01,"[273.4225944907299, 316.9262719881683, 288.50863391360787]","[278.288172868904, 293.1502526258812, 289.34920520375914]","[270.56019989252087, 290.6133676469326, 292.8502366244793]","[315.59687857577757, 316.9407660067694, 330.64118348886944]"
2023-06-01,"[316.7263652567385, 288.49528274383425, 246.05222385151225]","[294.1387245492917, 290.2984196622782, 266.99356066697743]","[303.5916557312012, 301.85635844469067, 273.4525525808334]","[314.7538952983874, 328.0683332586878, 279.16093155862654]"
2023-07-01,"[290.6193420659382, 246.53568327604756, 197.56877065820075]","[290.1036423627952, 267.29455984601356, 210.0791448434394]","[301.566540825367, 273.19296002388, 224.29045255184172]","[324.70438807789424, 275.9822774003902, 278.4486487333788]"
2023-08-01,"[246.12142288886852, 197.51638414882808, 165.57068589010552]","[267.50792831188437, 210.2491745237046, 126.83309794581332]","[269.27860008478166, 220.6261639177799, 158.33027393221855]","[271.8863048888193, 275.32220831233457, 142.48411624120905]"
2023-09-01,"[196.31283853240683, 165.54214224076455, 109.15394372431368]","[208.39945901237317, 129.1175235660606, 56.014227759687785]","[184.86403803825377, 133.61593532264231, 76.5248117953539]","[273.27180248800937, 144.9045488041605, 66.17804374621734]"
2023-10-01,"[165.53662359136703, 109.1571824067349, 52.23183150158661]","[128.4867630086141, 56.217624961351305, 37.708788206680055]","[182.5474977970123, 101.39625106155873, 53.03022281602025]","[143.97015189699675, 65.78637099867282, 45.137628616230224]"
