date,ARIMA,SARIMA,DL,SARIMAX
2023-05-01,"[2.041877645609188, 2.576766528446707, 1.844749703034661]","[1.973341089591373, 1.9477679409126758, 1.9225262027219032]","[1.9370491571426391, 2.010830252815038, 1.9821223301291466]","[2.6143791811223327, 2.472080802828834, 2.2302825013909744]"
2023-06-01,"[2.5733573470907194, 1.8495408958962778, 1.7517952756294428]","[2.8777121524688845, 2.8534927731952826, 2.8294772288785217]","[2.4149413110464812, 2.348764057084918, 2.2457829163596035]","[2.6805494779250583, 2.3815834878274167, 2.429219916096478]"
2023-07-01,"[1.8417096342120725, 1.7429725356978623, 1.9909963477550878]","[1.6384316664440535, 1.6108360789718799, 1.5837052752703882]","[2.0153610280230643, 2.0151968915499747, 2.01044026363641]","[1.68747580077145, 1.950167080350099, 1.8804299497245966]"
2023-08-01,"[1.7320304862044473, 1.985247224002656, 1.732325235846329]","[1.473553161831153, 1.4479229177601083, 1.4227384732897546]","[2.0475808626823127, 2.047298632916063, 2.0474818870685993]","[1.8131401139476617, 1.7809654057867126, 1.3390034449485506]"
2023-09-01,"[1.993782358345445, 1.7492282171060143, 1.6960890557878585]","[1.8884505229287922, 1.858590454403411, 1.829202531524164]","[2.1069956824705005, 2.0762308008149266, 2.042972755599767]","[1.8566895726903638, 1.3923610157350876, 1.9707127469514556]"
2023-10-01,"[1.3426786621519946, 1.86729177461517, 2.1407453678923116]","[1.4737803669498912, 1.4478983884722647, 1.422470939600907]","[1.9833739353232085, 1.9933074356354774, 1.9929339232556522]","[1.1446092195877773, 1.7925480034467864, 1.8563741148039103]"
