date,ARIMA,SARIMA,DL,SARIMAX
2022-04-01,"[1123897.5152814295, 708044.2557073844, 639799.1911980667]","[763498.5807993272, 952181.4832805833, 382486.3936347435]","[1075456.1192613156, 1076304.789612315, 1038215.5572413006]","[138207.5640010934, -223280.65846180223, 659613.7576363813]"
2022-05-01,"[698106.7716312973, 642340.9409961763, 587277.0499648352]","[1067154.8345774533, 423441.12359572644, 764751.532799257]","[1083216.10211884, 954606.9637582949, 1003563.038823437]","[598638.8085568256, 541185.1146033559, 410029.8800068557]"
2022-06-01,"[640061.8090245588, 586126.1154347011, 479060.0628638719]","[349673.98063246225, 670954.4137935924, 845356.6150962026]","[1004279.2513386172, 1056078.376688439, 1171045.7866975863]","[567761.0749957116, 421313.2941342732, 436414.6177381987]"
2022-07-01,"[587041.0661579414, 481241.7527648395, 507188.646892181]","[796161.6274711736, 902776.679341392, 596230.3902355517]","[827573.7233727538, 892884.2393009401, 1029773.3750498189]","[428081.95583017427, 440374.63256296644, 474089.67072610103]"
2022-08-01,"[484766.83074540534, 510868.97482749226, 650020.7701720224]","[843544.8931629641, 512075.7073943983, 1394776.2408282014]","[1035033.4812641069, 1144073.7948710842, 1209608.6226597198]","[460312.54959327786, 482144.37495005596, 951887.3046742488]"
2022-09-01,"[509559.0602531007, 663745.4091352306, 1004912.9344080196]","[404672.585932937, 1243156.1217586705, 839599.0204145778]","[1139033.7603916728, 1289622.3731587136, 1238087.426067387]","[483611.0370619434, 952790.4172908103, 1254211.1889504222]"
