date,ARIMA,SARIMA,DL,SARIMAX
2023-05-01,"[4803.920889601734, 4555.822568052599, 4455.59522348745]","[4746.489705613403, 4503.848524998193, 4402.9172031022745]","[4763.341225719451, 4614.9366308212275, 4568.849679350853]","[4502.543218203576, 4296.474355106453, 4108.204634260121]"
2023-06-01,"[4616.268533189649, 4378.932916961727, 4587.576419530244]","[4388.12123315804, 4331.168759595328, 4455.984843411237]","[4574.8858699321745, 4557.900358200073, 4594.931794595718]","[4319.902821887493, 4119.680650072437, 4315.3681222147325]"
2023-07-01,"[4365.225943560359, 4566.9449466039005, 4743.686844746496]","[4200.781056280375, 4423.566910089032, 4525.203958015933]","[4553.060909704864, 4572.732326388359, 4612.7803300201895]","[4130.51468727385, 4318.184008663999, 4229.192387871042]"
2023-08-01,"[4558.661265061203, 4734.524066321476, 4881.810650938507]","[4407.882269161655, 4471.835045295369, 4711.173214937471]","[4402.50667271018, 4404.887526154518, 4876.194506406784]","[4402.962579905492, 4264.384240167727, 4684.855661851026]"
2023-09-01,"[4644.296682299143, 4934.335311273053, 5243.771433760086]","[4477.334611806525, 4738.004666812227, 5133.053233062696]","[4647.574514865875, 5132.22203207016, 5488.100478172302]","[4196.062479455641, 4650.986413322913, 4969.642350668334]"
2023-10-01,"[4871.530900597957, 5010.486713468338, 5404.086820444506]","[4876.956235326332, 5220.973958517756, 5423.449597073013]","[5188.501024961472, 5551.8160672187805, 5803.569278240204]","[4703.618511895804, 5011.491012883566, 5207.418336375245]"
