date,ARIMA,SARIMA,DL,SARIMAX
2023-06-01,"[3762.842834481202, 3630.4889426224977, 4490.768284021106]","[3629.5408177492095, 3759.174505655211, 3578.7991006590546]","[3791.9682274212832, 3797.2562551611654, 3678.8893576160663]","[3997.385552776239, 4630.577803541386, 4423.8153306209315]"
2023-07-01,"[3551.4497334531643, 4435.875948956308, 4117.017752451562]","[3908.0412748380636, 3727.0844778724113, 3197.1004038455685]","[3488.708234470784, 3489.67368863064, 3202.134459673166]","[4511.336981459364, 4364.989563566498, 3467.1103377913983]"
2023-08-01,"[4721.379210186181, 4337.948517495363, 2847.937257409903]","[4286.781643589979, 3769.8934645032396, 3453.3484664083308]","[3741.8992909215094, 3370.7289013280274, 2926.679471614599]","[4330.891747554704, 3447.3853207218644, 2754.311167519269]"
2023-09-01,"[4335.935695899792, 2821.746614505624, 2268.788279531569]","[3859.4650259537502, 3548.780627434532, 3090.22951039568]","[4073.322444140196, 3613.877842473984, 3013.6121712740064]","[3468.7291652764197, 2763.11269215558, 2139.6475391812946]"
2023-10-01,"[2621.8073260581104, 2142.2926373330647, 1584.7982711006796]","[2933.2870188475267, 2454.3127147691334, 2061.117188722052]","[2755.1099574670793, 2312.739684752464, 2401.3113572945595]","[2673.7370815693366, 2096.355340283564, 1925.2983472113594]"
2023-11-01,"[2144.4984166130525, 1586.4905111691035, 1736.455899583026]","[2090.6774678816564, 1699.1562841515436, 2200.1515091257215]","[2604.0184159119726, 2714.548502690554, 3300.0403855870964]","[2031.8647039380448, 1890.0878331652466, 2037.657075800786]"
