date,SARIMAX predictions
2023-04-01,[4087.3134559365126]
2023-05-01,"[3985.232589008924, 3982.0594390594097]"
2023-06-01,"[3895.6381942726894, 3893.7184307766393, -349515.73764726537]"
2023-07-01,"[4322.830843456469, 17872.179666192125, 4334.797825755935]"
2023-08-01,"[-692217.8753021077, 4233.851795887707, -1316.8351366949864]"
2023-09-01,"[3898.7970339648996, 5929.583276274647, 3916.1112874354567]"
2023-10-01,"[6209.335219748653, 4112.523900175224]"
2023-11-01,[4399.177787833818]
