date,ARIMA,SARIMA,DL,SARIMAX
2023-04-01,"[4494.399778591577, 4417.663676160115, 4230.005123127108]","[4027.0579523878005, 3832.576394747938, 3826.8383485382765]","[4376.08950138092, 4367.880895018578, 4362.5062527656555]","[4089.255404138511, 3985.622216974339, 3893.5319840425686]"
2023-05-01,"[4416.108593207335, 4228.920556869821, 4283.537623314929]","[4093.9094492749327, 4060.724565932081, 4412.994025372613]","[4244.1303017139435, 4253.944788902998, 4357.029498100281]","[3980.764764360626, 3893.2250196758487, 4321.018055113329]"
2023-06-01,"[4228.4719007447065, 4281.472258955011, 4536.294339647324]","[3929.2653590538866, 4177.372938996418, 4006.357141080701]","[4339.788079202175, 4417.265113890171, 4437.4642542004585]","[3900.4226093628786, 4325.437429231347, 4228.299462717329]"
2023-07-01,"[4279.473617768584, 4536.445481459676, 4522.196915315902]","[4161.967063727454, 3991.249362393314, 3705.802546304525]","[4339.988364828616, 4280.550752243051, 4262.68805739968]","[4333.005584092743, 4232.693212992805, 3894.458397192298]"
2023-08-01,"[4534.570909160693, 4518.848602374251, 4174.14828914003]","[4168.730596811338, 3853.5557706083564, 3976.9851311463513]","[4187.571856618524, 4158.814785085169, 4155.604329807355]","[4231.540221659384, 3893.8013731486562, 4100.156010853187]"
2023-09-01,"[4516.391318845893, 4172.948931771731, 4329.106709842847]","[4035.833090998965, 4304.698444125724, 4452.988017877348]","[4286.341352634181, 4314.156834824663, 4360.852192931478]","[3914.087306503404, 4106.318530252183, 4392.42077685963]"
