date,SARIMAX
2023-05-01,[3613.2073714671687]
2023-06-01,"[3634.08845698762, 3521.5126162782108]"
2023-07-01,"[3821.2740669012737, 3694.0228934762054, 3728.824196368895]"
2023-08-01,"[3651.943018808895, 3695.3344964734038, 3734.968469045806]"
2023-09-01,"[3519.899727336438, 3544.6127312402327, 3536.9052596149527]"
2023-10-01,"[3803.1226561369594, 3796.78296756783, 3855.304150963633]"
2023-11-01,"[4121.029344182512, 4169.179904179399]"
2023-12-01,[4403.744833248919]
